,BAD,LOAN,MORTDUE,VALUE,REASON,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,Missing_Self,JOB_Mgr,JOB_Missing,JOB_Office,JOB_Other,JOB_ProfExe,JOB_Sales,JOB_Self,"LOAN_BINS_(1011.2, 9980.0_","LOAN_BINS_(9980.0, 18860.0_","LOAN_BINS_(18860.0, 27740.0_","LOAN_BINS_(27740.0, 36620.0_","LOAN_BINS_(36620.0, 45500.0_","LOAN_BINS_(45500.0, 54380.0_","LOAN_BINS_(54380.0, 63260.0_","LOAN_BINS_(63260.0, 72140.0_","LOAN_BINS_(72140.0, 81020.0_","LOAN_BINS_(81020.0, 89900.0_",HomeImp_Office_False,HomeImp_Office_True
0,1,0.0,0.05986862463426477,0.03659001142811316,1,0.25609756097560976,0.0,0.0,0.08077722625456892,0.058823529411764705,0.1267605633802817,0.16399132895658228,False,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,0.002252252252252252,0.17104961923283024,0.07123405931532747,1,0.17073170731707318,0.0,0.13333333333333333,0.10428850651760112,0.0,0.1971830985915493,0.16399132895658228,False,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,1,0.004504504504504505,0.028773268056565375,0.010260535033830284,1,0.0975609756097561,0.0,0.0,0.12794245232507429,0.058823529411764705,0.14084507042253522,0.16399132895658228,False,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,1,0.004504504504504505,0.1803777663157763,0.11059683143055454,2,0.21695456454852105,0.02545696877380046,0.029962825278810407,0.15387871158920982,0.06976794387479764,0.2999450169122087,0.16399132895658228,False,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4,0,0.006756756756756755,0.24085567578310735,0.12265467166877578,1,0.07317073170731708,0.0,0.0,0.07989269993330493,0.0,0.1971830985915493,0.16399132895658228,False,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5,1,0.006756756756756755,0.07166272104496499,0.03811729796475801,1,0.21951219512195122,0.0,0.0,0.08685420904346493,0.058823529411764705,0.11267605633802817,0.18043068420290034,False,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6,1,0.007882882882882884,0.11720131727578512,0.057832857063670744,1,0.12195121951219512,0.30000000000000004,0.13333333333333333,0.06599707676656938,0.058823529411764705,0.23943661971830987,0.16399132895658228,False,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7,1,0.007882882882882884,0.06651538289302543,0.04131811314657587,1,0.2682926829268293,0.0,0.0,0.07598311917234701,0.0,0.11267605633802817,0.17930280750235875,False,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8,1,0.010135135135135134,0.07707673458503045,0.04568886519661898,1,0.07317073170731708,0.0,0.13333333333333333,0.18569346112850577,0.058823529411764705,0.16901408450704225,0.16399132895658228,False,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
9,1,0.010135135135135134,0.1803777663157763,0.06398092248106813,1,0.3902439024390244,0.0,0.0,0.09912401413189019,0.0,0.18309859154929578,0.16399132895658228,False,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10,1,0.010135135135135134,0.051687224991005996,0.11059683143055454,2,0.21695456454852105,0.02545696877380046,0.029962825278810407,0.15387871158920982,0.06976794387479764,0.2999450169122087,0.16399132895658228,False,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
11,1,0.010135135135135134,0.04670341419970968,0.02571030617672415,1,0.2682926829268293,0.0,0.06666666666666667,0.10488770176710305,0.058823529411764705,0.1267605633802817,0.16399132895658228,False,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
12,1,0.010135135135135134,0.10802114282982839,0.0554304766195429,1,0.07317073170731708,0.0,0.0,0.0736724825819032,0.11764705882352941,0.35211267605633806,0.16399132895658228,False,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13,0,0.010135135135135134,0.1571699200225416,0.09364212433173844,2,0.21695456454852105,0.0,0.0,0.1259451348210279,0.0,0.3380281690140845,0.16399132895658228,False,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
14,1,0.011261261261261262,0.17343208708712485,0.08945535428919849,1,0.1951219512195122,0.0,0.06666666666666667,0.1052871652696243,0.0,0.22535211267605634,0.16399132895658228,False,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
